group,variable,value
created_at,148,2009-07-31 15:30:28.000000
statuses,148,18313
id,149,149
name,149,somanatha_taria
user_id,149,1501010677321768964
followers,149,14
friends,149,209
verified,149,0
created_at,149,2022-03-08 01:47:04.000000
statuses,149,178
id,150,150
name,150,Deep_tweets18
user_id,150,1417547054474141696
followers,150,215
friends,150,377
verified,150,0
created_at,150,2021-07-20 18:09:10.000000
statuses,150,1821
id,151,151
name,151,tabaha_mikhail
user_id,151,2331336396
followers,151,191
friends,151,403
verified,151,0
created_at,151,2014-02-07 05:17:22.000000
statuses,151,6261
id,152,152
name,152,comicripspod
user_id,152,1542499038498623489
followers,152,9
friends,152,98
verified,152,0
created_at,152,2022-06-30 13:23:32.000000
statuses,152,517
id,153,153
name,153,Vanish_AD
user_id,153,1024678403117666304
followers,153,21
friends,153,15
verified,153,0
created_at,153,2018-08-01 15:29:03.000000
statuses,153,119
id,154,154
name,154,Ms_April_U
user_id,154,27339081
followers,154,250
friends,154,328
verified,154,0
created_at,154,2009-03-29 00:03:07.000000
statuses,154,21967
id,155,155
name,155,GarrProbert
user_id,155,1261647336637452289
followers,155,2
friends,155,16
verified,155,0
created_at,155,2020-05-16 13:19:07.000000
statuses,155,27
id,156,156
name,156,Tjstukes20
user_id,156,1554146309921280000
followers,156,138
friends,156,351
verified,156,0
created_at,156,2022-08-01 16:45:44.000000
statuses,156,981
id,157,157
name,157,anna_harutunian
user_id,157,1365394909872721920
followers,157,44
friends,157,4
verified,157,0
created_at,157,2021-02-26 20:15:00.000000
statuses,157,8
id,158,158
name,158,Muhamma91464297
user_id,158,1561617647334301698
followers,158,8
friends,158,71
verified,158,0
created_at,158,2022-08-22 07:34:16.000000
statuses,158,37
id,159,159
name,159,beeez____
user_id,159,53593196
followers,159,19911
friends,159,2541
verified,159,0
created_at,159,2009-07-04 04:26:43.000000
statuses,159,211683
id,160,160
name,160,Sahejpatil1
user_id,160,1533049645748076544
followers,160,1
friends,160,39
verified,160,0
created_at,160,2022-06-04 11:35:15.000000
statuses,160,136
id,161,161
name,161,ImRoyal_T
user_id,161,29121372
followers,161,465
